2019-02-28 10:36:43.005 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - The following profiles are active: dev
2019-02-28 10:36:43.011 logback [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2e380628: startup date [Thu Feb 28 10:36:43 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6
2019-02-28 10:36:45.571 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 10:36:45.650 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 10:36:46.894 logback [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=4255f75a-af60-3bf5-8056-bce86cd1d869
2019-02-28 10:36:47.049 logback [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-02-28 10:36:47.323 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$a05e9f92] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 10:36:47.441 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e8c6910c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 10:36:48.688 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 10:36:48.688 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 10:36:48.703 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 10:36:48.703 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 10:36:49.139 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 10:36:50.645 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@2e380628: startup date [Thu Feb 28 10:36:43 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6
2019-02-28 10:36:50.937 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-02-28 10:36:50.938 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 10:36:51.100 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 10:36:51.104 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 10:36:55.056 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 10:36:57.117 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 10:37:00.156 logback [main] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.web.context.support.GenericWebApplicationContext@2e380628: startup date [Thu Feb 28 10:36:43 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6] and template loader path [classpath:/templates/]
2019-02-28 10:37:00.157 logback [main] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2019-02-28 10:37:00.954 logback [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-02-28 10:37:00.990 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 10:37:00.991 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 10:37:00.992 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 10:37:01.134 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 0
2019-02-28 10:37:01.147 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483547
2019-02-28 10:37:01.201 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - Started KafkaApplicationBootTest in 24.766 seconds (JVM running for 28.947)
2019-02-28 10:37:02.362 logback [Thread-8] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@2e380628: startup date [Thu Feb 28 10:36:43 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6
2019-02-28 10:37:02.391 logback [Thread-8] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-02-28 10:37:02.396 logback [Thread-8] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application elasticsearch with eureka with status DOWN
2019-02-28 10:37:02.408 logback [Thread-8] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483547
2019-02-28 10:37:02.409 logback [Thread-8] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-02-28 10:39:37.300 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - The following profiles are active: dev
2019-02-28 10:39:37.309 logback [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2e380628: startup date [Thu Feb 28 10:39:37 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6
